,Item,Year,Emission Intensity
60,Cereals Exc Rice,2021-12-31,41827.13357100135
61,Cereals Exc Rice,2022-12-31,42325.8324887428
62,Cereals Exc Rice,2023-12-31,42709.2173413471
63,Cereals Exc Rice,2024-12-31,43572.77870560257
64,Cereals Exc Rice,2025-12-31,44320.837563429865
65,Cereals Exc Rice,2026-12-31,44600.95447224983
66,Cereals Exc Rice,2027-12-31,45495.41064846459
67,Cereals Exc Rice,2028-12-31,45582.81510258394
68,Cereals Exc Rice,2029-12-31,46334.200928134596
69,Cereals Exc Rice,2030-12-31,47024.42619261071
70,Cereals Exc Rice,2031-12-31,47474.29067115091
71,Cereals Exc Rice,2032-12-31,48138.300270600084
72,Cereals Exc Rice,2033-12-31,48793.9000730216
73,Cereals Exc Rice,2034-12-31,49222.83393693617
74,Cereals Exc Rice,2035-12-31,49903.059187422645
75,Cereals Exc Rice,2036-12-31,50500.061285093936
76,Cereals Exc Rice,2037-12-31,50811.278112365166
77,Cereals Exc Rice,2038-12-31,51660.37506504313
78,Cereals Exc Rice,2039-12-31,52097.91442912179
79,Cereals Exc Rice,2040-12-31,52689.43154096185
80,Cereals Exc Rice,2041-12-31,53411.23695894475
81,Cereals Exc Rice,2042-12-31,53835.807102734805
82,Cereals Exc Rice,2043-12-31,54426.962000131054
83,Cereals Exc Rice,2044-12-31,55091.99855830934
84,Cereals Exc Rice,2045-12-31,55523.95888768088
85,Cereals Exc Rice,2046-12-31,56148.76755549672
86,Cereals Exc Rice,2047-12-31,56810.82458391679
87,Cereals Exc Rice,2048-12-31,57219.683806995235
88,Cereals Exc Rice,2049-12-31,57963.13624724883
89,Cereals Exc Rice,2050-12-31,58493.127402027996
90,Cereals Exc Rice,2051-12-31,58976.341467590624
91,Cereals Exc Rice,2052-12-31,59675.6957293288
92,Cereals Exc Rice,2053-12-31,60163.81736915998
93,Cereals Exc Rice,2054-12-31,60711.94212599723
94,Cereals Exc Rice,2055-12-31,61394.683403678755
95,Cereals Exc Rice,2056-12-31,61875.8543207029
96,Cereals Exc Rice,2057-12-31,62459.75640168163
97,Cereals Exc Rice,2058-12-31,63126.787473076845
98,Cereals Exc Rice,2059-12-31,63568.69428655254
99,Cereals Exc Rice,2060-12-31,64216.509131416504
100,Cereals Exc Rice,2061-12-31,64807.28683013025
101,Cereals Exc Rice,2062-12-31,65283.0448561592
102,Cereals Exc Rice,2063-12-31,65954.78198947666
103,Cereals Exc Rice,2064-12-31,66503.61112935207
104,Cereals Exc Rice,2065-12-31,67021.00943539586
105,Cereals Exc Rice,2066-12-31,67685.51600440135
106,Cereals Exc Rice,2067-12-31,68203.23479281859
0,Egg Hen in Shell,1961-12-31,210.26040302037413
1,Egg Hen in Shell,1962-12-31,227.79976928127624
2,Egg Hen in Shell,1963-12-31,234.4406762298688
3,Egg Hen in Shell,1964-12-31,234.0773548345536
4,Egg Hen in Shell,1965-12-31,221.43582740881163
5,Egg Hen in Shell,1966-12-31,237.04354811820755
6,Egg Hen in Shell,1967-12-31,274.74542311189975
7,Egg Hen in Shell,1968-12-31,286.4270889475268
8,Egg Hen in Shell,1969-12-31,301.9938697044565
9,Egg Hen in Shell,1970-12-31,304.8101952616012
10,Egg Hen in Shell,1971-12-31,328.97366926807877
11,Egg Hen in Shell,1972-12-31,380.6652771664233
12,Egg Hen in Shell,1973-12-31,432.0744794406943
13,Egg Hen in Shell,1974-12-31,453.8399762778321
14,Egg Hen in Shell,1975-12-31,505.32677570937284
15,Egg Hen in Shell,1976-12-31,532.1712153952918
16,Egg Hen in Shell,1977-12-31,531.7667142970951
17,Egg Hen in Shell,1978-12-31,456.08328246791655
18,Egg Hen in Shell,1979-12-31,407.49753688919924
19,Egg Hen in Shell,1980-12-31,474.07844854342613
20,Egg Hen in Shell,1981-12-31,455.0785379518438
21,Egg Hen in Shell,1982-12-31,466.06924975537845
22,Egg Hen in Shell,1983-12-31,444.5250344824663
23,Egg Hen in Shell,1984-12-31,507.6691895265843
24,Egg Hen in Shell,1985-12-31,535.6059230809777
25,Egg Hen in Shell,1986-12-31,528.7613653485365
26,Egg Hen in Shell,1987-12-31,541.1231894496542
27,Egg Hen in Shell,1988-12-31,584.7352626471824
28,Egg Hen in Shell,1989-12-31,649.0334522269959
29,Egg Hen in Shell,1990-12-31,690.3573655406831
30,Egg Hen in Shell,1991-12-31,696.7293834126245
31,Egg Hen in Shell,1992-12-31,670.7333077346713
32,Egg Hen in Shell,1993-12-31,663.1468669086646
33,Egg Hen in Shell,1994-12-31,746.2800414241678
34,Egg Hen in Shell,1995-12-31,795.3263484172442
35,Egg Hen in Shell,1996-12-31,810.6727616072768
36,Egg Hen in Shell,1997-12-31,787.2107114810628
37,Egg Hen in Shell,1998-12-31,887.1557633115592
38,Egg Hen in Shell,1999-12-31,949.2433204034492
39,Egg Hen in Shell,2000-12-31,1093.416117117851
40,Egg Hen in Shell,2001-12-31,1132.4012456645673
41,Egg Hen in Shell,2002-12-31,1242.204067191499
42,Egg Hen in Shell,2003-12-31,1255.5738039265188
43,Egg Hen in Shell,2004-12-31,1333.9198977679134
44,Egg Hen in Shell,2005-12-31,1371.026601366893
45,Egg Hen in Shell,2006-12-31,1426.9917301577036
46,Egg Hen in Shell,2007-12-31,1554.6789138279378
47,Egg Hen in Shell,2008-12-31,1639.2404938979362
48,Egg Hen in Shell,2009-12-31,1766.5430028741935
49,Egg Hen in Shell,2010-12-31,1875.561508666272
50,Egg Hen in Shell,2011-12-31,1922.1559633754866
51,Egg Hen in Shell,2012-12-31,1979.0912254800849
52,Egg Hen in Shell,2013-12-31,1986.4814423711932
53,Egg Hen in Shell,2014-12-31,2191.0475871553404
54,Egg Hen in Shell,2015-12-31,2324.918409499229
55,Egg Hen in Shell,2016-12-31,2407.905731878675
56,Egg Hen in Shell,2017-12-31,2639.976231013682
57,Egg Hen in Shell,2018-12-31,2594.5580262178582
58,Egg Hen in Shell,2019-12-31,2732.0012516560123
59,Egg Hen in Shell,2020-12-31,2906.078920245902
60,Egg Hen in Shell,2021-12-31,2873.9942438885164
61,Egg Hen in Shell,2022-12-31,3081.8935026019267
62,Egg Hen in Shell,2023-12-31,3136.7668338822737
63,Egg Hen in Shell,2024-12-31,3219.264845831602
64,Egg Hen in Shell,2025-12-31,3449.3682115339016
65,Egg Hen in Shell,2026-12-31,3429.1933777781237
66,Egg Hen in Shell,2027-12-31,3543.1524333042626
67,Egg Hen in Shell,2028-12-31,3669.516731887621
68,Egg Hen in Shell,2029-12-31,3684.907341588893
69,Egg Hen in Shell,2030-12-31,3858.4585095962534
70,Egg Hen in Shell,2031-12-31,3969.738279919379
71,Egg Hen in Shell,2032-12-31,3995.722124956281
72,Egg Hen in Shell,2033-12-31,4139.837842247123
73,Egg Hen in Shell,2034-12-31,4217.188395346411
74,Egg Hen in Shell,2035-12-31,4310.465640226126
75,Egg Hen in Shell,2036-12-31,4408.020271576409
76,Egg Hen in Shell,2037-12-31,4418.566305418796
77,Egg Hen in Shell,2038-12-31,4497.756013095669
78,Egg Hen in Shell,2039-12-31,4550.829298675954
79,Egg Hen in Shell,2040-12-31,4586.298982497397
80,Egg Hen in Shell,2041-12-31,4709.067676919364
81,Egg Hen in Shell,2042-12-31,4775.304853629201
82,Egg Hen in Shell,2043-12-31,4774.04011802437
83,Egg Hen in Shell,2044-12-31,4848.986784343637
84,Egg Hen in Shell,2045-12-31,4890.634838186677
85,Egg Hen in Shell,2046-12-31,4929.281003672877
86,Egg Hen in Shell,2047-12-31,4964.148465005247
87,Egg Hen in Shell,2048-12-31,4994.81258861288
88,Egg Hen in Shell,2049-12-31,5075.174523870762
89,Egg Hen in Shell,2050-12-31,5086.47464797651
90,Egg Hen in Shell,2051-12-31,5108.68019294067
91,Egg Hen in Shell,2052-12-31,5147.866610404841
92,Egg Hen in Shell,2053-12-31,5123.393752079736
93,Egg Hen in Shell,2054-12-31,5129.313669104709
94,Egg Hen in Shell,2055-12-31,5153.361888378091
95,Egg Hen in Shell,2056-12-31,5178.306799139783
96,Egg Hen in Shell,2057-12-31,5198.982139887761
97,Egg Hen in Shell,2058-12-31,5174.488391706052
98,Egg Hen in Shell,2059-12-31,5200.497170331581
99,Egg Hen in Shell,2060-12-31,5201.606909621691
100,Egg Hen in Shell,2061-12-31,5190.575299851229
101,Egg Hen in Shell,2062-12-31,5241.035056453975
102,Egg Hen in Shell,2063-12-31,5216.692732840021
103,Egg Hen in Shell,2064-12-31,5210.119938156567
104,Egg Hen in Shell,2065-12-31,5224.167692717401
105,Egg Hen in Shell,2066-12-31,5212.003318505779
106,Egg Hen in Shell,2067-12-31,5224.857046238768
0,Meat Cattle,1961-12-31,111792.27104010957
1,Meat Cattle,1962-12-31,112387.66027393648
2,Meat Cattle,1963-12-31,114318.04884365568
3,Meat Cattle,1964-12-31,115059.58316043396
4,Meat Cattle,1965-12-31,111166.28720847228
5,Meat Cattle,1966-12-31,113890.23234586662
6,Meat Cattle,1967-12-31,113231.93007268713
7,Meat Cattle,1968-12-31,113378.525357416
8,Meat Cattle,1969-12-31,114305.99481332778
9,Meat Cattle,1970-12-31,113373.68680538484
10,Meat Cattle,1971-12-31,111901.1514629584
11,Meat Cattle,1972-12-31,113923.71645161051
12,Meat Cattle,1973-12-31,113079.30029250088
13,Meat Cattle,1974-12-31,113738.11265819284
14,Meat Cattle,1975-12-31,113233.12266599707
15,Meat Cattle,1976-12-31,112282.27164049815
16,Meat Cattle,1977-12-31,113639.45094873273
17,Meat Cattle,1978-12-31,114105.34299460154
18,Meat Cattle,1979-12-31,115996.0553854489
19,Meat Cattle,1980-12-31,117316.01768675733
20,Meat Cattle,1981-12-31,120065.87637087298
21,Meat Cattle,1982-12-31,119960.48501463831
22,Meat Cattle,1983-12-31,120593.43920395574
23,Meat Cattle,1984-12-31,121785.56513399631
24,Meat Cattle,1985-12-31,121966.30761449916
25,Meat Cattle,1986-12-31,121654.61832381501
26,Meat Cattle,1987-12-31,121629.90064842264
27,Meat Cattle,1988-12-31,121975.13755865756
28,Meat Cattle,1989-12-31,123070.25895999128
29,Meat Cattle,1990-12-31,123915.63165159772
30,Meat Cattle,1991-12-31,124531.74082522496
31,Meat Cattle,1992-12-31,123260.84435889406
32,Meat Cattle,1993-12-31,121855.40169170382
33,Meat Cattle,1994-12-31,120589.03515937939
34,Meat Cattle,1995-12-31,120099.048857134
35,Meat Cattle,1996-12-31,119579.6705432121
36,Meat Cattle,1997-12-31,117253.98497765831
37,Meat Cattle,1998-12-31,115924.71223619921
38,Meat Cattle,1999-12-31,114889.89098873321
39,Meat Cattle,2000-12-31,112982.11031355671
40,Meat Cattle,2001-12-31,110080.79907331798
41,Meat Cattle,2002-12-31,108132.61193649229
42,Meat Cattle,2003-12-31,108555.02795367672
43,Meat Cattle,2004-12-31,110622.51327879135
44,Meat Cattle,2005-12-31,112603.34615676102
45,Meat Cattle,2006-12-31,113949.00704935267
46,Meat Cattle,2007-12-31,113090.56104164133
47,Meat Cattle,2008-12-31,111334.94479873464
48,Meat Cattle,2009-12-31,109361.50486568066
49,Meat Cattle,2010-12-31,107762.380376978
50,Meat Cattle,2011-12-31,105701.6709141757
51,Meat Cattle,2012-12-31,104113.79329900746
52,Meat Cattle,2013-12-31,101975.55724001706
53,Meat Cattle,2014-12-31,99475.338235072
54,Meat Cattle,2015-12-31,97404.04451742211
55,Meat Cattle,2016-12-31,96652.7619414161
56,Meat Cattle,2017-12-31,95529.45439929236
57,Meat Cattle,2018-12-31,95559.1592921973
58,Meat Cattle,2019-12-31,95224.25924963581
59,Meat Cattle,2020-12-31,94417.10231443071
60,Meat Cattle,2021-12-31,93528.55072612599
61,Meat Cattle,2022-12-31,93124.68810755212
62,Meat Cattle,2023-12-31,93166.27496418299
63,Meat Cattle,2024-12-31,93656.23989416075
64,Meat Cattle,2025-12-31,94482.73264231454
65,Meat Cattle,2026-12-31,95194.80305533334
66,Meat Cattle,2027-12-31,96244.15396837106
67,Meat Cattle,2028-12-31,97205.21901643102
68,Meat Cattle,2029-12-31,98455.29839224002
69,Meat Cattle,2030-12-31,99423.12664845967
70,Meat Cattle,2031-12-31,99296.30415359222
71,Meat Cattle,2032-12-31,98925.87650024841
72,Meat Cattle,2033-12-31,98261.46660301975
73,Meat Cattle,2034-12-31,98328.30382536056
74,Meat Cattle,2035-12-31,98168.59526565172
75,Meat Cattle,2036-12-31,98157.36832527022
76,Meat Cattle,2037-12-31,98166.7131557318
77,Meat Cattle,2038-12-31,98008.27668425634
78,Meat Cattle,2039-12-31,97954.40794841804
79,Meat Cattle,2040-12-31,97976.2964602658
80,Meat Cattle,2041-12-31,98804.25573173682
81,Meat Cattle,2042-12-31,100325.86758229398
82,Meat Cattle,2043-12-31,102166.00896561253
83,Meat Cattle,2044-12-31,103572.92439014582
84,Meat Cattle,2045-12-31,104067.46708612473
85,Meat Cattle,2046-12-31,104289.44853664782
86,Meat Cattle,2047-12-31,104814.94996798523
87,Meat Cattle,2048-12-31,106159.3564652353
88,Meat Cattle,2049-12-31,107985.93729466629
89,Meat Cattle,2050-12-31,109487.04316253588
90,Meat Cattle,2051-12-31,110465.38406682831
91,Meat Cattle,2052-12-31,110797.91757229506
92,Meat Cattle,2053-12-31,110720.17149308363
93,Meat Cattle,2054-12-31,110465.47264875172
94,Meat Cattle,2055-12-31,110217.92935709324
95,Meat Cattle,2056-12-31,110268.03154741465
96,Meat Cattle,2057-12-31,110042.02079333927
97,Meat Cattle,2058-12-31,109511.0521632768
98,Meat Cattle,2059-12-31,108461.88412473988
99,Meat Cattle,2060-12-31,107413.16767852304
100,Meat Cattle,2061-12-31,106844.81113184527
101,Meat Cattle,2062-12-31,106698.61727990395
102,Meat Cattle,2063-12-31,107144.9022129357
103,Meat Cattle,2064-12-31,107581.23233149463
104,Meat Cattle,2065-12-31,108071.75479789253
105,Meat Cattle,2066-12-31,108409.57636382329
106,Meat Cattle,2067-12-31,108773.36703029282
0,Meat Buffalo,1961-12-31,59361.88908270077
1,Meat Buffalo,1962-12-31,59038.473402893804
2,Meat Buffalo,1963-12-31,60121.56121757901
3,Meat Buffalo,1964-12-31,60527.37029242415
4,Meat Buffalo,1965-12-31,60963.3772849211
5,Meat Buffalo,1966-12-31,63124.839523463444
6,Meat Buffalo,1967-12-31,63384.69600140604
7,Meat Buffalo,1968-12-31,64235.64215967627
8,Meat Buffalo,1969-12-31,64886.29143157535
9,Meat Buffalo,1970-12-31,63952.33456713909
10,Meat Buffalo,1971-12-31,64464.15844545768
11,Meat Buffalo,1972-12-31,66319.45076979343
12,Meat Buffalo,1973-12-31,67510.1615349618
13,Meat Buffalo,1974-12-31,68058.22341236036
14,Meat Buffalo,1975-12-31,68082.68594408542
15,Meat Buffalo,1976-12-31,68666.7820817266
16,Meat Buffalo,1977-12-31,71986.07810329492
17,Meat Buffalo,1978-12-31,72691.97087138437
18,Meat Buffalo,1979-12-31,73188.69993664611
19,Meat Buffalo,1980-12-31,74017.11153092558
20,Meat Buffalo,1981-12-31,76770.3995749121
21,Meat Buffalo,1982-12-31,78893.93741421675
22,Meat Buffalo,1983-12-31,78962.06889490025
23,Meat Buffalo,1984-12-31,80215.98989400496
24,Meat Buffalo,1985-12-31,82278.36102649645
25,Meat Buffalo,1986-12-31,80432.59915770784
26,Meat Buffalo,1987-12-31,81280.20264935752
27,Meat Buffalo,1988-12-31,81016.80222325104
28,Meat Buffalo,1989-12-31,83017.88523316139
29,Meat Buffalo,1990-12-31,83366.5699314964
30,Meat Buffalo,1991-12-31,88625.42498552552
31,Meat Buffalo,1992-12-31,90188.66590026948
32,Meat Buffalo,1993-12-31,90535.76744137802
33,Meat Buffalo,1994-12-31,91383.07287397468
34,Meat Buffalo,1995-12-31,92197.79263386004
35,Meat Buffalo,1996-12-31,93825.70916349551
36,Meat Buffalo,1997-12-31,93917.8271079773
37,Meat Buffalo,1998-12-31,96350.23414957183
38,Meat Buffalo,1999-12-31,98062.38669142638
39,Meat Buffalo,2000-12-31,98526.37556273531
40,Meat Buffalo,2001-12-31,99846.60158555025
41,Meat Buffalo,2002-12-31,101664.5991147227
42,Meat Buffalo,2003-12-31,102602.6037698208
43,Meat Buffalo,2004-12-31,103853.38886403352
44,Meat Buffalo,2005-12-31,105642.50268216511
45,Meat Buffalo,2006-12-31,106908.06093253328
46,Meat Buffalo,2007-12-31,107424.32784652367
47,Meat Buffalo,2008-12-31,107648.52647846198
48,Meat Buffalo,2009-12-31,107261.71676111073
49,Meat Buffalo,2010-12-31,106634.53889470284
50,Meat Buffalo,2011-12-31,106914.97516795079
51,Meat Buffalo,2012-12-31,106975.94489452668
52,Meat Buffalo,2013-12-31,107162.36085729874
53,Meat Buffalo,2014-12-31,106316.15293156514
54,Meat Buffalo,2015-12-31,106415.57819147143
55,Meat Buffalo,2016-12-31,106910.084727968
56,Meat Buffalo,2017-12-31,106696.83531085774
57,Meat Buffalo,2018-12-31,106848.89139586598
58,Meat Buffalo,2019-12-31,106924.63700833303
59,Meat Buffalo,2020-12-31,106982.39141172123
60,Meat Buffalo,2021-12-31,106969.7212392205
61,Meat Buffalo,2022-12-31,107375.36701531387
62,Meat Buffalo,2023-12-31,107781.7844772213
63,Meat Buffalo,2024-12-31,108144.22240070377
64,Meat Buffalo,2025-12-31,108362.12075962206
65,Meat Buffalo,2026-12-31,109126.34806442392
66,Meat Buffalo,2027-12-31,109892.14536781074
67,Meat Buffalo,2028-12-31,110508.46130147437
68,Meat Buffalo,2029-12-31,111059.14571558232
69,Meat Buffalo,2030-12-31,111450.63692783208
70,Meat Buffalo,2031-12-31,111869.72682477238
71,Meat Buffalo,2032-12-31,112552.30173869684
72,Meat Buffalo,2033-12-31,112953.2515798463
73,Meat Buffalo,2034-12-31,113174.48657590587
74,Meat Buffalo,2035-12-31,113611.49065266903
75,Meat Buffalo,2036-12-31,114104.01469401375
76,Meat Buffalo,2037-12-31,114698.22592276442
77,Meat Buffalo,2038-12-31,114949.33759915482
78,Meat Buffalo,2039-12-31,115199.16648924023
79,Meat Buffalo,2040-12-31,115438.5929508548
80,Meat Buffalo,2041-12-31,115437.78232052682
81,Meat Buffalo,2042-12-31,115475.59977303646
82,Meat Buffalo,2043-12-31,115486.24318523073
83,Meat Buffalo,2044-12-31,115351.55579112793
84,Meat Buffalo,2045-12-31,114955.3130214119
85,Meat Buffalo,2046-12-31,114802.92496715701
86,Meat Buffalo,2047-12-31,114672.76848164211
87,Meat Buffalo,2048-12-31,114631.11064427614
88,Meat Buffalo,2049-12-31,114455.17508724771
89,Meat Buffalo,2050-12-31,114235.44532913929
90,Meat Buffalo,2051-12-31,114157.07343986811
91,Meat Buffalo,2052-12-31,114112.06750919488
92,Meat Buffalo,2053-12-31,114070.09822311859
93,Meat Buffalo,2054-12-31,113970.35846856303
94,Meat Buffalo,2055-12-31,113806.78167514515
95,Meat Buffalo,2056-12-31,113805.5677856177
96,Meat Buffalo,2057-12-31,113925.77334710996
97,Meat Buffalo,2058-12-31,114001.39162946642
98,Meat Buffalo,2059-12-31,114152.52054011164
99,Meat Buffalo,2060-12-31,114345.44393662082
100,Meat Buffalo,2061-12-31,114587.32944449215
101,Meat Buffalo,2062-12-31,114874.60163094297
102,Meat Buffalo,2063-12-31,115210.94601270552
103,Meat Buffalo,2064-12-31,115519.69482871136
104,Meat Buffalo,2065-12-31,115744.9734609118
105,Meat Buffalo,2066-12-31,115908.88302207939
106,Meat Buffalo,2067-12-31,116133.05790899457
0,Meat Chicken,1961-12-31,302.4421389803645
1,Meat Chicken,1962-12-31,288.1021114381763
2,Meat Chicken,1963-12-31,281.6726669907995
3,Meat Chicken,1964-12-31,285.97452277102855
4,Meat Chicken,1965-12-31,287.4764788276117
5,Meat Chicken,1966-12-31,276.3287469742689
6,Meat Chicken,1967-12-31,298.57969332449966
7,Meat Chicken,1968-12-31,315.3383915513402
8,Meat Chicken,1969-12-31,322.50121113188686
9,Meat Chicken,1970-12-31,313.4169100135416
10,Meat Chicken,1971-12-31,328.1644599967998
11,Meat Chicken,1972-12-31,297.19639094031976
12,Meat Chicken,1973-12-31,270.70752857331416
13,Meat Chicken,1974-12-31,274.2406465928715
14,Meat Chicken,1975-12-31,268.14770212854256
15,Meat Chicken,1976-12-31,220.813352656397
16,Meat Chicken,1977-12-31,263.50123380483075
17,Meat Chicken,1978-12-31,422.4404506618371
18,Meat Chicken,1979-12-31,512.8511251924014
19,Meat Chicken,1980-12-31,473.8983901944423
20,Meat Chicken,1981-12-31,493.68313196713643
21,Meat Chicken,1982-12-31,481.7837217243265
22,Meat Chicken,1983-12-31,613.3590382323389
23,Meat Chicken,1984-12-31,678.2472512792276
24,Meat Chicken,1985-12-31,720.9394392633938
25,Meat Chicken,1986-12-31,715.6027859407257
26,Meat Chicken,1987-12-31,683.6985484727477
27,Meat Chicken,1988-12-31,681.5630800364742
28,Meat Chicken,1989-12-31,666.0857511295326
29,Meat Chicken,1990-12-31,632.8880483605261
30,Meat Chicken,1991-12-31,648.0331327937789
31,Meat Chicken,1992-12-31,724.0922326916985
32,Meat Chicken,1993-12-31,774.1013751990104
33,Meat Chicken,1994-12-31,724.0949929019201
34,Meat Chicken,1995-12-31,682.1366262094651
35,Meat Chicken,1996-12-31,757.590842157435
36,Meat Chicken,1997-12-31,828.0772221186957
37,Meat Chicken,1998-12-31,814.6359616693776
38,Meat Chicken,1999-12-31,840.8795209068593
39,Meat Chicken,2000-12-31,872.0799391326705
40,Meat Chicken,2001-12-31,903.8062227604863
41,Meat Chicken,2002-12-31,971.9937095328931
42,Meat Chicken,2003-12-31,1144.2535435954574
43,Meat Chicken,2004-12-31,1244.8028778125615
44,Meat Chicken,2005-12-31,1366.3329292660856
45,Meat Chicken,2006-12-31,1510.0181452217928
46,Meat Chicken,2007-12-31,1619.2891528248406
47,Meat Chicken,2008-12-31,1597.067066355227
48,Meat Chicken,2009-12-31,1553.1984475154427
49,Meat Chicken,2010-12-31,1483.0025661380664
50,Meat Chicken,2011-12-31,1543.061044683065
51,Meat Chicken,2012-12-31,1612.1520701430459
52,Meat Chicken,2013-12-31,1629.10167460893
53,Meat Chicken,2014-12-31,1630.8354733179083
54,Meat Chicken,2015-12-31,1526.4208694265894
55,Meat Chicken,2016-12-31,1584.5127942517665
56,Meat Chicken,2017-12-31,1602.030735359067
57,Meat Chicken,2018-12-31,1630.3401846170111
58,Meat Chicken,2019-12-31,1596.554731401441
59,Meat Chicken,2020-12-31,1559.3285671301173
60,Meat Chicken,2021-12-31,1573.530247590266
61,Meat Chicken,2022-12-31,1581.9688107396346
62,Meat Chicken,2023-12-31,1570.1090823654877
63,Meat Chicken,2024-12-31,1584.0073795008038
64,Meat Chicken,2025-12-31,1593.664698838373
65,Meat Chicken,2026-12-31,1592.9386921860987
66,Meat Chicken,2027-12-31,1621.8945269409764
67,Meat Chicken,2028-12-31,1633.5576385631664
68,Meat Chicken,2029-12-31,1621.1432010151548
69,Meat Chicken,2030-12-31,1635.6573187624801
70,Meat Chicken,2031-12-31,1642.9952272451615
71,Meat Chicken,2032-12-31,1623.1960050470298
72,Meat Chicken,2033-12-31,1626.8173641293824
73,Meat Chicken,2034-12-31,1625.7224057863198
74,Meat Chicken,2035-12-31,1603.34404696795
75,Meat Chicken,2036-12-31,1606.5956656643948
76,Meat Chicken,2037-12-31,1611.5041157963944
77,Meat Chicken,2038-12-31,1592.9509083476842
78,Meat Chicken,2039-12-31,1600.3916737274037
79,Meat Chicken,2040-12-31,1612.402413714801
80,Meat Chicken,2041-12-31,1601.1078345804704
81,Meat Chicken,2042-12-31,1609.9286946316436
82,Meat Chicken,2043-12-31,1624.875519635126
83,Meat Chicken,2044-12-31,1613.1556355750822
84,Meat Chicken,2045-12-31,1619.1387297657975
85,Meat Chicken,2046-12-31,1631.3548103322778
86,Meat Chicken,2047-12-31,1617.1392077929727
87,Meat Chicken,2048-12-31,1616.8257971631022
88,Meat Chicken,2049-12-31,1627.1253255121053
89,Meat Chicken,2050-12-31,1611.2357322128946
90,Meat Chicken,2051-12-31,1608.9576086660595
91,Meat Chicken,2052-12-31,1619.4127665726378
92,Meat Chicken,2053-12-31,1606.432421287272
93,Meat Chicken,2054-12-31,1604.125960711706
94,Meat Chicken,2055-12-31,1617.9375142563954
95,Meat Chicken,2056-12-31,1607.9489458633045
96,Meat Chicken,2057-12-31,1606.626773036038
97,Meat Chicken,2058-12-31,1621.3902869616281
